feature,num_blocks,mean_block_length,median_block_length,max_block_length,min_block_length,std_block_length,total_missing,pct_missing,pattern_type
throughput_DL,40,746.275,73.0,11647,1,2274.3612288673494,29851,56.11195699167277,Very Large Blocks (>500)
cell_load_DL,40,746.275,73.0,11647,1,2274.3612288673494,29851,56.11195699167277,Very Large Blocks (>500)
jitter_DL,40,746.275,73.0,11647,1,2274.3612288673494,29851,56.11195699167277,Very Large Blocks (>500)
target_DL,40,746.275,73.0,11647,1,2274.3612288673494,29851,56.11195699167277,Very Large Blocks (>500)
jitter_UL,48,698.7291666666666,47.5,10296,1,2032.9885097599476,33539,63.04441812816031,Very Large Blocks (>500)
cell_load_UL,48,698.7291666666666,47.5,10296,1,2032.9885097599476,33539,63.04441812816031,Very Large Blocks (>500)
target_UL,48,698.7291666666666,47.5,10296,1,2032.9885097599476,33539,63.04441812816031,Very Large Blocks (>500)
throughput_UL,48,698.7291666666666,47.5,10296,1,2032.9885097599476,33539,63.04441812816031,Very Large Blocks (>500)
delay_std_DL,46,661.8913043478261,93.0,11644,1,2132.10609520932,30447,57.232278802233125,Very Large Blocks (>500)
delay_mean_DL,46,661.8478260869565,93.0,11644,1,2132.1185521263496,30445,57.228519333070174,Very Large Blocks (>500)
twist_linear_x,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
orientation_w,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
line_of_sight,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
distance_to_bs,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
twist_angular_z,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
twist_angular_y,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
position_x,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
position_y,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
position_z,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
orientation_x,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
orientation_y,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
twist_angular_x,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
twist_linear_z,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
twist_linear_y,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
orientation_z,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
obstacles_sum,16,276.1875,171.5,1493,2,352.4982657315494,4419,8.306547115547284,Large Blocks (50-500)
UE_DL,14,210.07142857142858,230.0,581,5,165.33190180694723,2941,5.528299404124137,Large Blocks (50-500)
UE_UL,14,210.07142857142858,230.0,581,5,165.33190180694723,2941,5.528299404124137,Large Blocks (50-500)
Latitude,19,171.26315789473685,146.0,588,3,167.2608558683626,3254,6.116656328126469,Large Blocks (50-500)
Longitude,19,171.26315789473685,146.0,588,3,167.2608558683626,3254,6.116656328126469,Large Blocks (50-500)
serving_cell_rsrq_1,87,162.75862068965517,76.0,4432,2,480.8655262957689,14160,26.61704167371567,Large Blocks (50-500)
serving_cell_rsrp_1,87,162.75862068965517,76.0,4432,2,480.8655262957689,14160,26.61704167371567,Large Blocks (50-500)
serving_cell_rssi_1,88,160.92045454545453,76.0,4432,1,478.4328399147411,14161,26.618921408297147,Large Blocks (50-500)
serving_cell_snr_1,88,160.92045454545453,76.0,4432,1,478.4328399147411,14161,26.618921408297147,Large Blocks (50-500)
jitter_client,86,119.0,71.0,972,1,171.9214937115194,10234,19.237203706836596,Large Blocks (50-500)
datarate_client,86,119.0,71.0,972,1,171.9214937115194,10234,19.237203706836596,Large Blocks (50-500)
jitter_server,86,118.65116279069767,69.5,972,1,171.6419859354267,10204,19.18081166939228,Large Blocks (50-500)
datarate_server,86,118.65116279069767,69.5,972,1,171.6419859354267,10204,19.18081166939228,Large Blocks (50-500)
delay_std_UL,302,113.6092715231788,1.0,10296,1,849.908257405912,34310,64.49369349047915,Large Blocks (50-500)
RSRP(dBm),123,96.34959349593495,48.0,1477,1,178.98757661115917,11851,22.276734525085057,Large Blocks (50-500)
RSRQ(dB),123,96.34959349593495,48.0,1477,1,178.98757661115917,11851,22.276734525085057,Large Blocks (50-500)
Number of Detected Cells,123,96.34959349593495,48.0,1477,1,178.98757661115917,11851,22.276734525085057,Large Blocks (50-500)
Number of Neighbor Cells,123,96.34959349593495,48.0,1477,1,178.98757661115917,11851,22.276734525085057,Large Blocks (50-500)
E-ARFCN,123,96.34959349593495,48.0,1477,1,178.98757661115917,11851,22.276734525085057,Large Blocks (50-500)
serving_cell_id,123,96.34959349593495,48.0,1477,1,178.98757661115917,11851,22.276734525085057,Large Blocks (50-500)
delay_mean_UL,375,91.27466666666666,1.0,10296,1,763.6548517217855,34228,64.33955525479801,Large Blocks (50-500)
ttl,2974,5.614660390047074,1.0,991,1,35.609773263132595,16698,31.387808041504538,Medium Blocks (5-50)
icmp_seq,2974,5.614660390047074,1.0,991,1,35.609773263132595,16698,31.387808041504538,Medium Blocks (5-50)
ping_ms,2974,5.614660390047074,1.0,991,1,35.609773263132595,16698,31.387808041504538,Medium Blocks (5-50)
ping_size_bytes,2974,5.614660390047074,1.0,991,1,35.609773263132595,16698,31.387808041504538,Medium Blocks (5-50)
